Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Trucks,Non-dedicated,"Natural Gas Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"Natural Gas Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Light Duty","Automobiles (Compact)",Dedicated,"Natural Gas Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"Natural Gas Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"Natural Gas Providers",MD
2003,"Liquefied Petroleum Gas (LPG)","District of Columbia",0,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"Natural Gas Providers",DC
2003,"Liquefied Petroleum Gas (LPG)","District of Columbia",0,0,"Light Duty","Automobiles (Compact)",Dedicated,"Natural Gas Providers",DC
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty","Automobiles (Fullsize)",Dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty","Automobiles (Midsize)",Dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty",Motorcycles,Non-dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty",Motorcycles,Dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty",Motorcycles,Non-dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty",Motorcycles,Non-dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Colorado,0,0,"Light Duty","Other Vehicles",Non-dedicated,"Natural Gas Providers",CO
2003,"Liquefied Petroleum Gas (LPG)",Colorado,0,0,"Light Duty",Pickups,Non-dedicated,"Natural Gas Providers",CO
2003,"Liquefied Petroleum Gas (LPG)",Colorado,0,0,"Light Duty",Pickups,Dedicated,"Natural Gas Providers",CO
