Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2017,"Ethanol, 85 percent (E85)",Nevada,159,1,"Light Duty",SUVs,Non-dedicated,"State Agencies",NV
2017,"Ethanol, 85 percent (E85)",Nevada,41,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",NV
2017,"Ethanol, 85 percent (E85)",Nevada,3,0,"Medium Duty",Pickups,Non-dedicated,"State Agencies",NV
2017,"Ethanol, 85 percent (E85)","New York",41,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",NY
2017,"Ethanol, 85 percent (E85)","New York",99,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",NY
2017,"Ethanol, 85 percent (E85)","New York",385,92,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",NY
2017,"Ethanol, 85 percent (E85)","New York",337,14,"Light Duty",Pickups,Non-dedicated,"State Agencies",NY
2017,"Ethanol, 85 percent (E85)","New York",468,8,"Light Duty",SUVs,Non-dedicated,"State Agencies",NY
2017,"Ethanol, 85 percent (E85)","New York",907,309,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",NY
2017,"Ethanol, 85 percent (E85)","New York",280,5,"Medium Duty",Pickups,Non-dedicated,"State Agencies",NY
2017,"Ethanol, 85 percent (E85)",Ohio,554,2,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",OH
2017,"Ethanol, 85 percent (E85)",Illinois,1653,24,"Light Duty",Pickups,Non-dedicated,"State Agencies",IL
2017,"Ethanol, 85 percent (E85)",Illinois,775,8,"Light Duty",SUVs,Non-dedicated,"State Agencies",IL
2017,"Ethanol, 85 percent (E85)",Illinois,77,1,"Light Duty",Trucks,Non-dedicated,"State Agencies",IL
2017,"Ethanol, 85 percent (E85)",Illinois,623,12,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",IL
2017,"Ethanol, 85 percent (E85)",Indiana,364,1,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",IN
2017,"Ethanol, 85 percent (E85)",Indiana,132,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",IN
2017,"Ethanol, 85 percent (E85)",Indiana,759,3,"Light Duty",Pickups,Non-dedicated,"State Agencies",IN
2017,"Ethanol, 85 percent (E85)",Indiana,410,1,"Light Duty",SUVs,Non-dedicated,"State Agencies",IN
2017,"Ethanol, 85 percent (E85)",Indiana,170,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",IN
2017,"Ethanol, 85 percent (E85)",Kansas,2,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",KS
2017,"Ethanol, 85 percent (E85)",Kansas,6,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",KS
2017,"Ethanol, 85 percent (E85)",Kansas,138,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",KS
